No.,分類,中学校名,中学校名_かな,所在地,電話番号,緯度,経度
1,市立,明倫中学校,めいりん,福井市木田1丁目1360,0776-36-3826,36.049186,136.220629
2,市立,光陽中学校,こうよう,福井市光陽4丁目7-1,0776-22-8828,36.066689,136.194847
3,市立,明道中学校 　,めいどう,福井市文京2丁目5-1,0776-20-5126,36.076869,136.217732
4,市立,進明中学校　,しんめい,福井市松本1丁目10-1,0776-20-5128,36.072698,136.229416
5,市立,成和中学校 　,せいわ,福井市城東3丁目10-1,0776-22-8835,36.061719,136.238245
6,市立,安居中学校 　,あご,福井市本堂町12-4,0776-37-0155,36.058311,136.135742
7,市立,大安寺中学校,だいあんじ,福井市岸水町16-25-1,0776-59-1881,36.109528,136.173937
8,市立,灯明寺中学校,とうみょうじ,福井市灯明寺3丁目3801,0776-22-8837,36.09799,136.213999
9,市立,至民中学校 　,しみん,福井市南江守町65-20,0776-35-3840,36.025518,136.188099
10,市立,国見中学校,くにみ,福井市鮎川町109-9-2,0776-88-2316,36.085369,136.031395
11,市立,大東中学校,だいとう,福井市北今泉町10-6-2,0776-54-6822,36.073548,136.255965
12,市立,川西中学校,かわにし,福井市水切町39-24,0776-83-0037,36.143195,136.1446
13,市立,棗中学校,なつめ,福井市石新保町12-32,0776-85-1099,36.145434,136.108781
14,市立,鷹巣中学校,たかす,福井市和布町3-6,0776-86-1114,36.130912,136.065923
15,市立,森田中学校,もりた,福井市上野本町1丁目1077,0776-56-0130,36.115861,136.2376
16,市立,足羽中学校,あすわ,福井市今市町5-10,0776-38-1011,36.006349,136.20563
17,市立,足羽第一中学校,あすわだいいち,福井市稲津町83-1,0776-41-1311,36.021423,136.250466
18,市立,藤島中学校,ふじしま,福井市八ツ島町7-6,0776-26-8876,36.085306,136.201424
19,市立,社中学校,やしろ,福井市若杉4丁目1402,0776-35-8310,36.055709,136.184354
20,市立,美山中学校,みやま,福井市美山町9-14,0776-90-3020,35.997955,136.361992
21,市立,越廼中学校,こしの,福井市大味町29-83,0776-89-2045,36.051302,136.019205
22,市立,清水中学校,しみず,福井市島寺町2-55,0776-98-5009,36.024694,136.143038
23,私立,北陸中学校,ほくりく,福井市文京1丁目8-1,0776-24-0321,36.076284,136.220141
24,私立,福井工業大学附属福井中学校,ふくい,福井市学園3丁目6-1,0776-29-2640,36.070279,136.194864
25,県立,県立高志中学校,こし,福井市御幸2丁目25-8,0776-24-5175,36.059473,136.232442
26,市立,杉坂中学校,すぎさか,福井市本折町48-2,0776-43-0124,36.033639,136.113425
