No.,公表_年月日,患者_人数
1,2020/3/18,1
2,2020/3/25,2
3,2020/3/26,3
4,2020/3/27,1
5,2020/3/28,2
6,2020/3/30,1
7,2020/3/31,3
8,2020/4/2,8
9,2020/4/3,8
10,2020/4/4,1
11,2020/4/5,3
12,2020/4/6,1
13,2020/4/7,3
14,2020/4/8,3
15,2020/4/9,5
16,2020/4/10,4
17,2020/4/11,4
18,2020/4/12,1
19,2020/4/13,1
20,2020/4/15,5
21,2020/4/16,3
22,2020/4/17,1
23,2020/4/18,1
24,2020/4/19,6
25,2020/4/20,1
26,2020/4/21,2
27,2020/4/24,1
28,2020/4/26,1
29,2020/4/28,1
30,2020/7/12,1
31,2020/7/13,1
32,2020/7/15,1
33,2020/7/26,1
34,2020/7/29,4
35,2020/7/30,2
36,2020/8/5,1
37,2020/8/6,1
38,2020/8/9,1
39,2020/8/16,1
40,2020/8/23,1
41,2020/8/25,7
42,2020/8/26,5
43,2020/8/27,8
44,2020/8/28,10
45,2020/8/29,4
46,2020/8/30,6
47,2020/8/31,4
48,2020/9/1,2
49,2020/9/4,3
50,2020/9/5,1
51,2020/10/15,1
52,2020/10/31,1
53,2020/11/9,3
54,2020/11/10,2
55,2020/11/12,1
56,2020/11/14,1
57,2020/11/17,1
58,2020/11/18,4
59,2020/11/19,4
60,2020/11/20,1
61,2020/11/21,2
62,2020/11/22,2
63,2020/11/23,1
64,2020/11/24,1
65,2020/11/26,3
66,2020/11/27,1
67,2020/11/28,1
68,2020/11/30,1
69,2020/12/1,3
70,2020/12/8,2
71,2020/12/9,1
72,2020/12/10,1
73,2020/12/13,1
74,2020/12/15,1
75,2020/12/16,4
76,2021/1/7,2
77,2021/1/8,7
78,2021/1/9,4
79,2021/1/13,2
80,2021/1/14,1
81,2021/1/15,3
82,2021/1/16,4
83,2021/1/17,2
84,2021/1/18,4
85,2021/1/19,2
86,2021/1/20,1
87,2021/1/21,1
88,2021/1/24,1
89,2021/1/25,1
90,2021/1/27,2
91,2021/1/29,2
92,2021/1/31,4
93,2021/2/4,1
94,2021/2/6,2
95,2021/2/27,1
96,2021/3/8,1
97,2021/3/16,1
98,2021/3/17,2
99,2021/3/19,1
100,2021/3/20,3
101,2021/3/26,14
102,2021/3/28,1
103,2021/3/29,3
104,2021/3/30,8
105,2021/3/31,1
106,2021/4/2,2
107,2021/4/3,1
108,2021/4/4,2
109,2021/4/6,3
110,2021/4/7,1
111,2021/4/8,2
112,2021/4/13,1
113,2021/4/14,6
114,2021/4/15,7
115,2021/4/16,15
116,2021/4/17,4
117,2021/4/18,4
118,2021/4/19,4
119,2021/4/20,6
120,2021/4/21,4
121,2021/4/22,7
122,2021/4/23,4
123,2021/4/24,6
124,2021/4/25,1
125,2021/4/26,1
126,2021/4/27,2
127,2021/4/28,3
128,2021/4/30,1
129,2021/5/1,2
130,2021/5/2,5
131,2021/5/3,1
132,2021/5/4,3
133,2021/5/5,2
134,2021/5/6,2
135,2021/5/7,6
136,2021/5/8,1
137,2021/5/9,6
138,2021/5/10,2
139,2021/5/11,1
140,2021/5/12,1
141,2021/5/13,1
142,2021/5/14,1
143,2021/5/15,1
144,2021/5/17,1
145,2021/5/18,1
146,2021/5/19,2
147,2021/5/20,2
148,2021/5/21,1
149,2021/5/26,2
150,2021/6/2,3
151,2021/6/3,2
152,2021/6/4,1
153,2021/6/6,1
154,2021/6/9,2
155,2021/6/10,1
156,2021/6/11,3
157,2021/6/15,3
158,2021/6/16,2
159,2021/6/17,4
160,2021/6/18,8
161,2021/6/19,8
162,2021/6/20,19
163,2021/6/21,16
164,2021/6/22,12
165,2021/6/23,12
166,2021/6/24,15
167,2021/6/25,12
168,2021/6/26,17
169,2021/6/27,7
170,2021/6/28,4
171,2021/6/29,9
172,2021/6/30,9
173,2021/7/1,9
174,2021/7/2,10
175,2021/7/3,5
176,2021/7/4,2
177,2021/7/5,2
178,2021/7/6,3
179,2021/7/7,6
180,2021/7/8,2
181,2021/7/10,3
182,2021/7/11,3
183,2021/7/13,5
184,2021/7/14,4
185,2021/7/15,4
186,2021/7/17,2
187,2021/7/18,3
188,2021/7/20,2
189,2021/7/22,4
190,2021/7/23,2
191,2021/7/24,1
192,2021/7/25,6
193,2021/7/26,5
194,2021/7/27,5
195,2021/7/28,10
196,2021/7/29,12
197,2021/7/30,8
198,2021/7/31,10
199,2021/8/1,4
200,2021/8/2,2
201,2021/8/3,4
202,2021/8/4,9
203,2021/8/5,8
204,2021/8/6,5
205,2021/8/7,4
206,2021/8/8,5
207,2021/8/10,3
208,2021/8/11,3
209,2021/8/12,4
210,2021/8/13,9
211,2021/8/14,7
212,2021/8/15,3
213,2021/8/16,2
214,2021/8/17,5
215,2021/8/18,7
216,2021/8/19,9
217,2021/8/20,14
218,2021/8/21,8
219,2021/8/22,13
220,2021/8/23,4
221,2021/8/24,9
222,2021/8/25,17
223,2021/8/26,10
224,2021/8/27,9
225,2021/8/28,9
226,2021/8/29,11
227,2021/8/30,11
228,2021/8/31,9
229,2021/9/1,10
230,2021/9/2,6
231,2021/9/3,5
232,2021/9/4,11
233,2021/9/5,18
234,2021/9/6,8
235,2021/9/7,6
236,2021/9/8,4
237,2021/9/9,4
238,2021/9/10,12
239,2021/9/11,8
240,2021/9/12,8
241,2021/9/13,2
242,2021/9/14,5
243,2021/9/15,6
244,2021/9/16,8
245,2021/9/17,11
246,2021/9/18,7
247,2021/9/19,5
248,2021/9/20,2
249,2021/9/21,4
250,2021/9/22,2
251,2021/9/23,4
252,2021/9/25,1
253,2021/9/26,3
254,2021/9/27,2
255,2021/9/28,1
256,2021/9/29,12
257,2021/9/30,3
258,2021/10/2,2
259,2021/10/3,8
260,2021/10/4,2
261,2021/10/5,1
262,2021/10/6,1
263,2021/10/7,3
264,2021/10/8,2
265,2021/10/9,2
266,2021/10/10,4
267,2021/10/11,1
268,2021/10/12,7
269,2021/10/15,1
270,2021/10/17,1
271,2021/12/28,1
272,2022/1/7,1
273,2022/1/8,1
274,2022/1/9,1
275,2022/1/10,6
276,2022/1/11,3
277,2022/1/12,5
278,2022/1/13,9
279,2022/1/14,8
280,2022/1/15,5
281,2022/1/16,12
282,2022/1/17,13
283,2022/1/18,5
284,2022/1/19,21
285,2022/1/20,26
286,2022/1/21,21
287,2022/1/22,23
288,2022/1/23,18
289,2022/1/24,23
290,2022/1/25,20
291,2022/1/26,47
292,2022/1/27,32
293,2022/1/28,61
294,2022/1/29,41
295,2022/1/30,42
296,2022/1/31,52
297,2022/2/1,27
298,2022/2/2,38
299,2022/2/3,52
300,2022/2/4,60
301,2022/2/5,46
302,2022/2/6,43
303,2022/2/7,55
304,2022/2/8,64
305,2022/2/9,37
306,2022/2/10,73
307,2022/2/11,52
308,2022/2/12,61
309,2022/2/13,73
310,2022/2/14,62
311,2022/2/15,54
312,2022/2/16,67
313,2022/2/17,104
314,2022/2/18,71
315,2022/2/19,79
316,2022/2/20,73
317,2022/2/21,88
318,2022/2/22,79
319,2022/2/23,79
320,2022/2/24,65
321,2022/2/25,71
322,2022/2/26,70
323,2022/2/27,97
324,2022/2/28,82
325,3/1/22,89
326,3/2/22,93
327,3/3/22,104
328,3/4/22,68
329,3/5/22,103
330,3/6/22,86
331,3/7/22,160
332,3/8/22,118
333,3/9/22,97
334,3/10/22,64
335,3/11/22,71
336,3/12/22,70
337,3/13/22,119
338,3/14/22,84
339,3/15/22,67
340,3/16/22,91
341,3/17/22,81
342,3/18/22,89
343,3/19/22,52
344,3/20/22,63
345,3/21/22,37
346,3/22/22,21
347,3/23/22,35
348,3/24/22,46
349,3/25/22,49
350,3/26/22,49
351,3/27/22,27
352,3/28/22,59
353,3/29/22,38
354,3/30/22,49
355,3/31/22,59
356,4/1/22,47
357,4/2/22,31
358,4/3/22,31
359,4/4/22,61
360,4/5/22,35
361,4/6/22,61
362,4/7/22,59
363,4/8/22,69
364,4/9/22,73
365,4/10/22,81
366,4/11/22,74
367,4/12/22,79
368,4/13/22,93
369,4/14/22,74
370,4/15/22,83
371,4/16/22,104
372,4/17/22,50
373,4/18/22,34
374,4/19/22,81
375,4/20/22,60
376,4/21/22,82
377,4/22/22,85
378,4/23/22,57
379,4/24/22,65
380,4/25/22,36
381,4/26/22,64
382,4/27/22,66
383,4/28/22,62
384,4/29/22,64
385,4/30/22,61
386,5/1/22,55
387,2022/5/2,27
388,2022/5/3,61
389,2022/5/4,71
390,2022/5/5,50
391,2022/5/6,71
392,2022/5/7,86
393,2022/5/8,73
394,2022/5/9,122
395,2022/5/10,101
396,2022/5/11,113
397,2022/5/12,128
398,2022/5/13,82
399,2022/5/14,144
400,2022/5/15,121
401,2022/5/16,67
402,2022/5/17,129
403,2022/5/18,144
404,2022/5/19,121
405,2022/5/20,98
406,2022/5/21,117
407,2022/5/22,84
408,2022/5/23,124
409,2022/5/24,70
410,2022/5/25,81
411,2022/5/26,98
412,2022/5/27,76
413,2022/5/28,104
414,2022/5/29,78
415,2022/5/30,62
416,2022/5/31,48
417,2022/6/1,36
418,2022/6/2,60
419,2022/6/3,70
420,2022/6/4,81
421,2022/6/5,74
422,2022/6/6,65
423,2022/6/7,53
424,2022/6/8,47
425,2022/6/9,56
426,2022/6/10,64
427,2022/6/11,73
428,2022/6/12,74
429,2022/6/13,74
430,2022/6/14,36
431,2022/6/15,62
432,2022/6/16,69
433,2022/6/17,61
434,2022/6/18,61
435,2022/6/19,68
436,2022/6/20,71
437,2022/6/21,33
438,2022/6/22,62
439,2022/6/23,48
440,2022/6/24,38
441,2022/6/25,52
442,2022/6/26,67
443,2022/6/27,55
444,2022/6/28,38
445,2022/6/29,52
446,2022/6/30,40
447,2022/7/1,52
