No.,診療所名,診療所名_カナ,医療機関の種類,所在地,電話番号,診療科目,病床数,緯度,経度,
1,福井県福井健康福祉センター,,一般診療所,福井県福井市西木田 2丁目8-8,0776-36-1116,内科、小児科、歯科,0,36.05462928,136.2138418,
2,特別養護老人ホーム新田塚ハウス医務室,,一般診療所,福井県福井市江上町 第55号5番地,0776-59-1800,内科,0,36.13107528,136.1641242,
3,福井刑務所医務課診療所,,一般診療所,福井県福井市一本木町 52,0776-36-3220,内科、精神科、その他の科(歯科),7,36.05267394,136.2264623,
4,公益財団法人福井県予防医学協会附属診療所,,一般診療所,福井県福井市和田 2-1006,0776-23-4810,内科、外科、乳腺外科、泌尿器科、整形外科、婦人科、放射線科、麻酔科、消化器科,0,36.04850547,136.2417229,
5,老人ホーム山翠苑医務室,,一般診療所,福井県福井市竪達町 24-1,0776-53-2586,内科,0,36.07496949,136.271246,
6,愛全園診療所,,一般診療所,福井県福井市丸山町 40-7,0776-53-5411,内科,0,36.07724526,136.2517476,
7,特別養護老人ホーム宝珠苑,,一般診療所,福井県福井市内山梨子町 2-3-1,0776-83-1373,内科、呼吸器科、消化器科、循環器科,0,36.13481856,136.1573619,
8,社会福祉法人美山友愛会特別養護老人ホーム美山貴寿苑,,一般診療所,福井県福井市市波町 31-2,0776-96-4150,内科,0,36.01641106,136.3310137,
9,特別養護老人ホーム文珠苑医務室,,一般診療所,福井県福井市北山町 35字反町5-1,0776-41-7500,内科,0,36.00155434,136.2508493,
10,福井県赤十字血液センタ－,,一般診療所,福井県福井市月見 3丁目3-23,0776-36-6275,その他の科(内科（採血およびその付随行為）),0,36.0466268,136.2082208,
11,特別養護老人ホーム　高雄苑医務室,,一般診療所,福井県福井市本堂町 51-33,0776-37-0116,内科、外科、胃腸科,0,36.05633482,136.1267011,
12,社会福祉法人足羽福祉会　足羽利生苑医務室,,一般診療所,福井県福井市栂野町 20号7番地,0776-41-3121,内科,0,36.03882782,136.2580547,
13,社会福祉法人すいせんの里すだちの家医務室,,一般診療所,福井県福井市東大味町 第9号15番地,0776-41-3950,内科,0,35.99451537,136.2598983,
14,特別養護老人ホーム　「悠和園医務室」,,一般診療所,福井県福井市免鳥町 22-74,0776-87-2161,内科、整形外科,0,36.13100145,136.0747906,
15,福井大学保健管理センター,,一般診療所,福井県福井市文京 3-9-1,0776-27-8513,内科、精神科、眼科、耳鼻いんこう科,0,36.0753042,136.2113236,
16,特別養護老人ホーム　あさむつ苑診療室,,一般診療所,福井県福井市引目町 21字9-2,0776-38-9280,内科,0,36.02246886,136.1973012,
17,公益財団法人福井県労働衛生センター附属診療所,,一般診療所,福井県福井市日光 1丁目3-10,0776-25-2206,内科,0,36.07187284,136.2029758,
18,あさくら苑診療所,,一般診療所,福井県福井市下六条町 18字32番,0776-41-8400,内科,0,36.03517257,136.2294944,
19,足羽更生園医務室,,一般診療所,福井県福井市宿布町 第19号46-1,0776-41-3120,内科、呼吸器科、循環器科,0,36.01331831,136.3033858,
20,特別養護老人ホームＨＯＭＥ　ＴＯＷＮ　コスモス医務室,,一般診療所,福井県福井市帆谷町 1字外山33,0776-38-1159,内科,0,36.00751089,136.2360895,
21,モアヤング　こもれびホーム診療所,,一般診療所,福井県福井市和田中町東沖田 30-1,0776-28-3737,内科、整形外科,0,36.05045572,136.2575633,
22,かわにし苑医務室,,一般診療所,福井県福井市砂子坂町 9-5,0776-83-1055,内科、外科、胃腸科,0,36.14620928,136.1472443,
23,地域密着型特別養護老人ホームなの花医務室,,一般診療所,福井県福井市加茂河原 3丁目1-22,0776-36-8784,内科,0,36.06332356,136.1931017,
