No.,施設名称,郵便番号,施設所在地,施設電話番号,詳細業種,許可年月日,部屋数,緯度,経度,備考
1,小田桐,910-0023,順化１丁目２１－１３,0776-22-5330,旅館・ホテル営業,7/1/57,10 ,36.065749 ,136.217151 ,
2,足羽荘,918-8007,足羽１丁目７－１６,0776-24-0449,旅館・ホテル営業,7/21/60,13 ,36.058153 ,136.211248 ,
3,永山荘,918-8003,毛矢２丁目２－２３,0776-36-0007,旅館・ホテル営業,8/19/64,10 ,36.060244 ,136.214834 ,
4,河甚旅館,918-8007,足羽１丁目７―１６,0776-36-3850,旅館・ホテル営業,1/24/68,18 ,36.058153 ,136.211248 ,
5,ホテル　ルナ,918-8015,花堂南２丁目１３―６,0776-36-0685,旅館・ホテル営業,1/23/69,12 ,36.034414 ,136.209913 ,
6,別館すいせん,910-3404,大丹生町４８―２４,0776-88-2055,旅館・ホテル営業,4/12/71,6 ,36.073322 ,136.026404 ,
7,ビジネス福井プラザホテル,910-0005,大手２丁目６―５,0776-24-1313,旅館・ホテル営業,12/5/72,33 ,36.062787 ,136.222305 ,
8,ホテル嵯峨,918-8021,門前１丁目１６０３,0776-35-1000,旅館・ホテル営業,2/25/74,18 ,36.047452 ,136.198133 ,
9,みの浦荘,910-3381,蓑町１１―１３,0776-86-1551,旅館・ホテル営業,6/6/75,7 ,36.127907 ,136.058931 ,
10,ホテル　シルビア,918-8181,浅水町１４０―１７,0776-38-1531,旅館・ホテル営業,7/16/75,10 ,35.997593 ,136.199362 ,
11,海,910-3553,蒲生町１５―４―１,0776-89-2221,旅館・ホテル営業,1/7/76,8 ,36.033367 ,136.010992 ,
12,呼鳥荘,910-3558,八ツ俣町６７―２―２,0776-89-2539,簡易宿所営業,7/9/76,11 ,35.999872 ,135.968862 ,
13,ニュー朝倉,910-2152,安波賀町１４―５,0776-41-2313,簡易宿所営業,7/18/78,5 ,36.010276 ,136.300601 ,
14,ホテル　アイ　ストーリー,910-0804,高木中央１丁目２８０６,0776-53-1885,旅館・ホテル営業,10/23/79,8 ,36.087502 ,136.234725 ,
15,ホテル　アンジー,918-8114,羽水１丁目６１３,0776-34-1777,旅館・ホテル営業,11/30/79,15 ,36.042194 ,136.232398 ,
16,民宿　陣屋,910-2153,城戸ノ内町８―４０―２,0776-41-2312,旅館・ホテル営業,2/25/80,10 ,36.004111 ,136.298641 ,
17,田中屋,910-2153,城戸ノ内町９―１１―１,0776-41-2427,簡易宿所営業,6/25/80,5 ,36.002922 ,136.298505 ,
18,石川旅館,910-3553,蒲生町１―１―３,0776-89-2550,旅館・ホテル営業,10/4/80,8 ,36.037299 ,136.013139 ,
19,浜茄子,910-3558,八ツ俣町２―６,0776-89-2850,旅館・ホテル営業,7/17/81,8 ,36.000224 ,135.970131 ,
20,郵政寮トラベルホテル　華久,910-0857,豊島１丁目６―２２,,旅館・ホテル営業,5/17/82,5 ,36.057335 ,136.221255 ,
