No.,種別,名称,所在地,電話番号,ＦＡＸ番号,主な対象者(身体),主な対象者(知的),主な対象者(精神),設置主体(法人)の名称,緯度,経度
1,介護サービス包括型,ぷらむ,花堂中１丁目１７－４,(０７７６)３３－３７５８,(０７７６)４１－３５２６,,●,,社会福祉法人　虹の会,36.037789,136.217812
2,介護サービス包括型,あったかい,文京７丁目８－２３,(０７７６)２７－２６１５,(０７７６)２７－２６３１,,●,,社会福祉法人　虹の会,36.075740,136.195980
3,介護サービス包括型,みどりの森社会復帰センターこもれび,今泉町２－５－１,(０７７６)２２－３７１７,(０７７６)２７－０８１８,,,●,公益財団法人　松原病院,36.069211,136.265808
4,介護サービス包括型,クローバーハウス,新保町１６－３－２,(０７７６)５７－１１１９,(０７７６)５７－０９００,,●,●,社会福祉法人　高志福祉会,36.085039,136.251140
5,介護サービス包括型,きさらぎの里　愛,殿下町１６－１,(０７７６)５２－５５７５,(０７７６)５２－５５８５,,●,,社会福祉法人　竹伸会,36.057602,136.276252
6,介護サービス包括型,河北寮,下河北町１１－１４,(０７７６)３８－５７５７,(０７７６)３８－５７６０,●,●,●,有限会社　Ｃ・ネットサービス,36.020176,136.215431
7,介護サービス包括型,グループホーム若越ひかりの村,島寺町８３－３２,(０７７６)９８－２６３３,(０７７６)９８－３６４２,,●,,社会福祉法人　ふくい福祉事業団,36.017579,136.14124
8,介護サービス包括型,オレンジハウス,高木中央２丁目６０４,(０７７６)５２－８７８１,(０７７６)５２－８７８１,●,●,●,社会福祉法人　げんきの家,36.093960,136.232639
9,介護サービス包括型,グループホームやすらぎの家,光陽２丁目１７－２５,(０７７６)２３－５６７０,(０７７６)２３－５６７１,●,,,社会福祉法人　福井県視覚障害者福祉協会,36.065589,136.198857
10,介護サービス包括型,Ｐａｌｅｔｔｅ（パレット),渕３－３０８,(０７７６)３３－３７３０,(０７７６)３３－３７２０,,●,,特定非営利活動法人　みんなのサポート,36.042757,136.186158
11,介護サービス包括型,ぽてと,福１丁目１１０２・１１０３,(０７７６)３３－５０８５,,●,●,●,社会福祉法人　城山,36.046209,136.190623
12,介護サービス包括型,グループホームあおい,開発５丁目７０９番地,(０７７６)４３－６１５１,(０７７６)４３－１７８７,●,●,●,社会福祉法人　あおい福祉会,36.087931,136.241085
13,介護サービス包括型,グリーンハウス,グリーンハイツ４丁目１２７,(０７７６)３３－８３５０,(０７７６)３３－８３５１,,●,,社会福祉法人　つぐみ福祉会,36.044091,136.1631
14,外部サービス利用型,ハウス六条,下六条町２１７－８,(０７７６)４１－２０６０,(０７７６)４１－４１６０,,,●,社会福祉法人　六条厚生会,36.036355,136.234262
15,外部サービス利用型,ハウス松本,松本１丁目１５－３３,(０７７６)４１－８０６０,(０７７６)４１－８０６１,,,●,社会福祉法人　六条厚生会,36.072575,136.23251
16,介護サービス包括型,あすわ第１,和田東１丁目１６０３,(０７７６)４１－３７９５,(０７７６)４１－３７９６,●,●,●,社会福祉法人　足羽福祉会,36.05321,136.246236
17,介護サービス包括型,あすわ第２,栂野町２０－５,(０７７６)４１－３７９５,(０７７６)４１－３７９６,●,●,●,社会福祉法人　足羽福祉会,36.039089,136.25785
18,介護サービス包括型,あすわ第３,和田東２丁目１３２１,(０７７６)６３－６７８９,(０７７６)６３－６７８９,●,●,●,社会福祉法人　足羽福祉会,36.049635,136.249248
19,介護サービス包括型,グループホーム　ジェラ,大宮５丁目６－３１,(０７７６)５０－２４１１,(０７７６)５０－２４１２,,●,●,合同会社　ソーイ,36.080822,136.203048
20,介護サービス包括型,グループホーム　わの家,加茂河原３丁目９－１９,(０７７６)３３－００４４,(０７７６)３３－０７７９,,●,●,株式会社　葬凛,36.063600,136.192399
21,介護サービス包括型,ワンＲＯＯＭ,田尻栃谷町３８－３６－２,(０７７６)４３－０６８０,(０７７６)４３－０６８１,,●,●,ケアＴＯＭＡＴＯ株式会社,36.037322,136.166469
22,介護サービス包括型,合同会社まるゆう,板垣２丁目４０４－２,(０７７６)６３－５８１２,(０７７６)６５－２４５９,,●,●,合同会社　まるゆう,36.046765,136.228196
23,介護サービス包括型,グループホーム不動町,西木田３丁目１６－４,０９０－２３７６－３６２８,(０７７６)８３－０８９９,●,●,●,株式会社　ちいさなチカラ,36.054722,136.211072
24,介護サービス包括型,ウィードフラワー福井,若杉４丁目９１８番地,(０７７６)４３－９６１０,(０７７６)４３－９６１０,●,●,●,ギブアンドギブ合同会社,36.056273,136.186234
25,介護サービス包括型,グループホームぷろぐれす,西板垣町５０７番地,０８０－９７０５－４０３５,(０７７６)４３-１４３０,●,●,●,合同会社　ぷろぐれす,36.053276,136.227987
26,日中サービス支援型,モストヴィレッジ和田,和田東１丁目２０３番地,(０７７６)９７－８４２７,(０７７６)９７－８４２８,●,●,●,株式会社　ふくい福祉振興会,36.054791,136.24578
27,介護サービス包括型,グループホームおーるわん,江端町３２－６０－２,(０７７６)３８－７００２,(０７７６)３８－７００３,●,●,●,株式会社　オールワン,36.029646,136.210668
28,介護サービス包括型,みんなの家　みつばち,江端町１－４,(０７７６)５２－２０１０,(０７７６)５２－２２１０,,●,●,株式会社　みつばち,36.032186,136.21613
29,介護サービス包括型,グループホームこころ,みのり４丁目２－１９,(０７７６)３４－０３２１,(０７７６)３４－０３２０,,●,●,株式会社　ライフケアｃｏｃｏｒｏ,36.050538,136.206063
30,介護サービス包括型,グループホームトモニ福井,豊岡１丁目１１－２８,(０７７６)５０－２１２０,(０７７６)５０－２１５２,●,●,●,株式会社　インテグラルウェルフェア,36.069301,136.192531
31,介護サービス包括型,GOOD HOME ソラーレ,福井市運動公園１丁目１２１０番地,(０７７６)６５－１８１９,(０７７６)６５－３４６２,,●,●,株式会社　クラシオ,36.053355,136.179735
32,介護サービス包括型,福祉サービス福井,福井市光陽４丁目２－２４　１０２号室,(０７７８)２５－５０５５,(０７７８)４２－６２２６,●,●,●,福祉サービス合同会社,36.067682,136.195618
