No.,名称,所在地,電話番号,ＦＡＸ番号,主な対象者(身体),主な対象者(知的),主な対象者(精神),設置主体(法人)の名称,緯度,経度
1,いきいき生活介護事業所,高木中央２丁目６０１,(０７７６)５２－８９９１,(０７７６)５２－８９９８,●,●,,社会福祉法人　げんきの家,36.094347,136.232608
2,福井事業所　介護型,南居町８１－１－３１,(０７７６)３３－８３５０,(０７７６)３３－８３５１,●,●,,社会福祉法人　つぐみ福祉会,36.012094,136.170606
3,ライフカレッジあけぼの,河水町５－１－１,(０７７６)５２－５５７５,(０７７６)５２－５５８５,●,●,,社会福祉法人　竹伸会,36.055587,136.275201
4,就労支援センター　あおい,川合鷲塚町１２字長田６番１,(０７７６)５５－３１１０,(０７７６)５５－３１１１,●,●,●,社会福祉法人　あおい福祉会,36.120435,136.199297
5,あくてぃ,花堂中１丁目１８番２４号,(０７７６)３３－１１７７,,,●,,社会福祉法人　虹の会,36.037018,136.217480
6,凪の里,文京５丁目１４－３７,(０７７６)２７－２６８８,(０７７６)２７－２６３１,●,●,,社会福祉法人　虹の会,36.076801,136.205792
7,がんばるはうす,文京５丁目２８－５,(０７７６)２７－２６３０,(０７７６)２７－６４３９,●,●,,社会福祉法人　虹の会,36.078685,136.204828
8,支援センターすだち,東大味町１１－３８－２,(０７７６)４１－３９５０,(０７７６)４１－３９３５,,●,●,社会福祉法人　すいせんの里,35.994602,136.259084
9,福井県こども療育センター「オアシス」,四ツ井２丁目８－１,(０７７６)５３－６５７０,(０７７６)５３－６５７６,●,,,福井県,36.069340,136.237958
10,Ｏｒａｎｇｅ　Ｋｉｄｓ’　Ｃａｒｅ　Ｌａｂ.,灯明寺３丁目３５１１,(０７７６)２１－３３３９,(０７７６)２１－３３３９,●,,,一般社団法人　Ｏｒａｎｇｅ　Ｋｉｄｓ’　Ｃａｒｅ　Ｌａｂ.,36.097858,136.211688
11,スマイル,和田東１丁目２１０５番,(０７７６)４１－３１０８,(０７７６)４１－３１９９,●,●,●,社会福祉法人　足羽福祉会,36.052438,136.249490
12,平谷こども発達クリニック　円山事業所　はぐくみ,南四ツ居町３字北ヨナ田５,(０７７６)５４－４７７７,(０７７６)５４－４８８８,,●,●,医療法人　平谷こども発達クリニック,36.069437,136.249987
13,くまっこクラブふくい,加茂河原１丁目２－１２,(０７７６)３３－３７９５,(０７７６)３３－３７９５,,●,●,特定非営利活動法人　くまっこクラブふくい,36.060999,136.196809
14,わいわいポケット,福町２８－４９,(０７７６)３４－８１１２,(０７７６)３４－８１１３,●,●,●,社会福祉法人　城山,36.046388,136.191360
15,カラフル,林町６２－３,(０７７６)８９－１８７０,(０７７６)８９－１８７１,●,●,●,社会福祉法人　足羽福祉会,36.085601,136.260296
16,デイセンターすずかぜ,文京２丁目１６－６,(０７７６)６３－６５１３,(０７７６)３６－５９６５,,,●,公益財団法人　松原病院,36.079462,136.219029
17,いちごデイセンターみのり,月見４丁目３－２９,(０７７６)３３－１５４１,(０７７６)３３－１５６１,●,,,医療法人　健康会,36.047972,136.203623
18,いちごデイセンター福井,米松１丁目１４－１５,(０７７６)５４－７６１６,(０７７６)５４－７２３２,●,,,医療法人　健康会,36.067095,136.241055
19,小規模多機能型居宅介護ゆずり葉,春日３丁目１００９番地,(０７７６)２９－７０５４,(０７７６)２９－７０５４,●,●,●,合同会社　ゆずり葉,36.050156,136.226459
20,リハビリデイサービスわかすぎ,若杉４丁目１６０２番地,(０７７６)３３－０７０８,(０７７６)３３－０７０９,●,●,●,株式会社　ありがとう,36.056591,136.185257
21,きっずリハビリテーションサポート,町屋３丁目６番８号,(０７７６)７６－８８５２,(０７７６)７６－２２５８,●,●,,特定非営利活動法人　きっずリハビリテーションサポート,36.077413,136.225718
22,トゥモローズホームリハビリセンター,若杉１丁目２８０１,(０７７６)３３－３２２０,(０７７６)３３－１２４４,●,●,●,有限会社　トゥモローズリハビリテーショングループ,36.057815,136.189173
23,デイサービスリハビリセンタートレフル,若杉１丁目２８０５,(０７７６)３３－１２３３,(０７７６)３３－１２４４,●,●,●,有限会社　トゥモローズリハビリテーショングループ,36.057749,136.188853
24,ちいさなチカラ,開発１丁目７１４－２,(０７７６)４３－６８６０,(０７７６)４３－６８６７,●,●,●,株式会社　ちいさなチカラ,36.076183,136.240387
25,トゥモローズホームリハビリセンター福井南,花堂南２－１－１,(０７７６)５０－６０７２,(０７７６)５０－６０７３,●,●,●,有限会社　トゥモローズリハビリテーショングループ,36.035515,136.21329
26,しみずの杜,田尻栃谷町３８－４６－５,(０７７６)９８－３５６８,(０７７６)９８－２２７５,●,●,,社会福祉法人　竹伸会,36.034614,136.165858
27,小規模多機能型居宅介護かけはし,本堂町６９－１４－１,(０７７６)５０－２９４４,(０７７６)５０－２９５５,●,●,●,合同会社　かけはし,36.059249,136.13241
28,小規模多機能型居宅介護みらい,新田塚２丁目１２－１５,(０７７６)５０－７１７８,(０７７６)５０－７１８５,●,●,●,合同会社　かけはし,36.08774,136.205065
