No.,名称,所在地,電話番号,ＦＡＸ番号,主な対象者(身体),主な対象者(知的),主な対象者(精神),設置主体(法人)の名称,緯度,経度
1,"げんきの家
就労継続支援Ｂ型事業所",高木中央２丁目６０２,(０７７６)５２－８９９１,(０７７６)５２－８９９８,●,●,,社会福祉法人　げんきの家,36.094209,136.232677
2,"就労継続支援Ｂ型事業
ハートワーク",新保町１６－３－２,(０７７６)５２－８９８３,(０７７６)５２－８９７７,,●,●,社会福祉法人　高志福祉会,36.085101,136.251285
3,ハートワーク,北山町２２-１-１,(０７７６)４１－４９９３,(０７７６)４１－４１１４,●,●,●,社会福祉法人　高志福祉会,36.001535,136.24383
4,手づくり工房コスモス,田尻栃谷町３８－４６－５,(０７７６)９８－３５６８,(０７７６)９８－２２７５,●,●,,社会福祉法人　竹伸会,36.038171,136.171401
5,ワークあけぼの,河水町５－１－１,(０７７６)５２－５５７５,(０７７６)５２－５５８５,●,●,,社会福祉法人　竹伸会,36.055587,136.275201
6,足羽ワークセンター,栂野町２０－５,(０７７６)４１－３７９５,(０７７６)４１－３７９６,●,●,●,社会福祉法人　足羽福祉会,36.039089,136.257850
7,足羽サポートセンター,米松２丁目６番２８号,(０７７６)８８－０２４６,(０７７６)５０－２５３７,●,●,●,社会福祉法人　足羽福祉会,36.068907,136.240589
8,"みどりの森社会復帰センター
就労事業所(ジョブガーデン)",文京２丁目１４－２５,(０７７６)２２－３７１８,(０７７６)２７－２８２７,,,●,公益財団法人　松原病院,36.079168,136.218548
9,就労支援センターあおい,川合鷲塚町１２字長田６番１,(０７７６)５５－３１１０,(０７７６)５５－３１１１,●,●,●,社会福祉法人　あおい福祉会,36.120435,136.199297
10,コミュニティやわらぎ,下六条町１－４－１,(０７７６)４１－０１００,(０７７６)４１－２２００,,,●,社会福祉法人　六条厚生会,36.035568,136.233968
11,松本ファクトリー,松本１丁目２－１９,(０７７６)４１－４０６０,(０７７６)４１－４１６０,,,●,社会福祉法人　六条厚生会,36.071610,136.232503
12,わいわいポケット,福町２８－４９,(０７７６)３４－８１１２,(０７７６)３４－８１１３,●,●,●,社会福祉法人　城山,36.046388,136.191360
13,うめのき,篠尾町８２－７０－１,(０７７６)４１－３５２３,(０７７６)４１－３５２６,,●,,社会福祉法人　虹の会,36.030980,136.281892
14,クリーンねっと福井,島寺９２,(０７７６)９８－４０９０,(０７７６)９８－４０９１,,●,,特定非営利活動法人　福祉ネットこうえん会,36.020720,136.140495
15,"障害者就労支援事業所
「夢つづきの家」",月見２丁目１０－１,(０７７６)３３－３７６０,(０７７６)３３－３７６１,●,●,●,社会福祉法人　慶長会,36.045595,136.214778
