No.,名称,所在地,電話番号,ＦＡＸ番号,主な対象者(身体),主な対象者(知的),主な対象者(精神),主な対象者(障害児),設置主体(法人)の名称,緯度,経度
1,河北寮,下河北町１１－１４,(０７７６)３８－５７５７,(０７７６)３８－５７６０,●,●,●,●,有限会社　Ｃ・ネットサービス　,36.020176,136.215431
2,ショートステイやわらぎ,下六条町１－４,(０７７６)４１－８３５０,(０７７８)４１－８０５０,,,●,,社会福祉法人　六条厚生会,36.036092,136.233992
3,足羽更生園短期入所事業所,宿布町１９－４６－１,(０７７６)４１－３１２０,(０７７６)４１－３４９２,●,●,●,,社会福祉法人　足羽福祉会,36.013030,136.303981
4,足羽学園短期入所事業,宿布町１９－４６－１,(０７７６)４１－３１２０,(０７７６)４１－３４９２,,,,●,社会福祉法人　足羽福祉会,36.013030,136.303981
5,ひまわり短期入所,御幸４丁目３－２１,(０７７６)４１－３７９５,(０７７６)４１－３７９６,●,●,●,,社会福祉法人　足羽福祉会,36.056307,136.239323
6,あすわ短期入所,栂野町２０－５,(０７７６)４１－００１３,(０７７６)４１－００１３,●,●,●,,社会福祉法人　足羽福祉会,36.039089,136.257850
7,"子ども発達支援センター
フレンズあすわ",大和田１丁目１６０７,(０７７６)５３－３３３０,(０７７６)５３－３３３２,,,,●,社会福祉法人　足羽福祉会,36.090162,136.251419
8,若越ひかりの村　第一生活支援施設,島寺町６７－３０,(０７７６)９８－３６００,(０７７６)９８－３６４２,,●,,●,社会福祉法人　ふくい福祉事業団,36.018224,136.140633
9,若越ひかりの村　第二生活支援施設,島寺町６７－３０,(０７７６)９８－３６００,(０７７６)９８－３６４２,,●,,●,社会福祉法人　ふくい福祉事業団,36.018393,136.139832
10,若越ひかりの村　第三生活支援施設,島寺町６７－３０,(０７７６)９８－３６００,(０７７６)９８－３６４２,,●,,●,社会福祉法人　ふくい福祉事業団,36.018715,136.138928
11,若越ひかりの村　第四生活支援施設,島寺町６７－３０,(０７７６)９８－３６００,(０７７６)９８－３６４２,,●,,●,社会福祉法人　ふくい福祉事業団,36.018715,136.138928
12,福井美山荘,市波町５４－２５,(０７７６)９６－４１１５,(０７７６)９６－４４４１,●,,,,社会福祉法人　ふくい福祉事業団,36.018036,136.326508
13,ぷらむ,花堂中１丁目１７－４,(０７７６)３３－３７５８,(０７７６)３３－３７５８,,●,,,社会福祉法人　虹の会,36.037789,136.217812
14,福井県こども療育センター,四ツ井２丁目８－１,(０７７６)５３－６５７０,(０７７６)５３－６５７６,,,,●,福井県,36.069337,136.237971
15,すだちの家,東大味町９－１５,(０７７６)４１－３９５０,(０７７６)４１－３９３５,,●,,,社会福祉法人　すいせんの里,35.994519,136.259900
16,九頭竜ワークショップ七瀬の郷,燈豊町４３字才田９番４,(０７７６)８３－０１５２,(０７７６)８３－０１５３,●,,,,社会福祉法人　九頭竜厚生事業団,36.122149,136.136903
17,ショートステイきさらぎの里,殿下町１６－１,(０７７６)５２－１７２７,(０７７６)５２－１７２７,,●,,,社会福祉法人　竹伸会,36.057502,136.276221
18,短期入所事業所,高木中央２丁目６０４,(０７７６)５２－８７８１,(０７７６)５２－８７８１,●,●,,,社会福祉法人　げんきの家,36.093960,136.232639
19,グループホーム短期入所やすらぎの家,光陽２丁目１７－２５,(０７７６)２３－５６７０,(０７７６)２３－５６７１,●,,,,社会福祉法人　福井県視覚障害者福祉協会,36.065589,136.198857
20,あったかい,文京７丁目８－２３,(０７７６)２７－２６１５,(０７７６)２７－２６３１,,●,,,社会福祉法人　虹の会,36.075740,136.195980
21,クローバーハウス,新保町１６－３－２,(０７７６)５７－１１１９,(０７７６)５７－０９００,,●,●,,社会福祉法人　高志福祉会,36.085039,136.251140
22,グループホームあおい,開発５丁目７０９番地,(０７７６)４３－６１５１,(０７７６)４３－１７８７,●,●,●,,社会福祉法人　あおい福祉会,36.087931,136.241085
23,ほっとリハビリショートステイ福井,大和田２丁目２１０１,(０７７６)５７－１０５５,(０７７６)５７－１０５６,●,,,,株式会社　ほっとリハビリシステムズ,36.098839,136.253490
24,小規模多機能型居宅介護ゆずり葉,春日３丁目１００９番地,(０７７６)９７－５５６０,(０７７６)８３－０８９９,●,●,●,,合同会社　ゆずり葉,36.050156,136.226459
25,モストヴィレッジ和田,和田東１丁目２０３番地,(０７７６)９７－８４２７,(０７７６)９７－８４２８,●,●,●,,株式会社　ふくい福祉振興会,36.054791,136.245780
26,ショートステイおーるわん,江端町３２－６０－２,(０７７６)３８－７００２,(０７７６)３８－７００３,●,●,●,,株式会社　オールワン,36.029646,136.210668
27,みんなの家　みつばち,江端町１－４,(０７７６)５２－２０１０,(０７７６)５２－２２１０,●,●,,,株式会社　みつばち,36.032186,136.216130
28,グループホームこころ,みのり４丁目２－１９,(０７７６)３４－０３２１,(０７７６)３４－０３２０,,●,●,,株式会社　ライフケアｃｏｃｏｒｏ,36.050538,136.206063
29,小規模多機能型居宅介護かけはし,本堂町６９－１４－１,(０７７６)５０－２９４４,(０７７６)５０－２９５５,●,●,●,●,合同会社　かけはし,36.059249,136.132410
30,小規模多機能型居宅介護事業所美山,美山町６－１,(０７７６)９０－３３３０,(０７７６)９０－３３２３,●,●,●,,社会福祉法人　足羽福祉会,35.998934,136.361354
31,グループホームぷろぐれす,西板垣町５０７番地,０８０－９７０５－４０３５,(０７７６)４３-１４３０,●,●,●,,合同会社　ぷろぐれす,36.053276,136.227987
32,小規模多機能型居宅介護みらい,新田塚２丁目１２－１５,(０７７６)５０－７１７８,(０７７６)５０－７１８５,●,●,●,●,合同会社　かけはし,36.08774,136.205065
33,グループホーム不動町,福井市西木田３丁目１６－４,０９０－２３７６－３６２８,(０７７６)８３－０８９９,●,●,●,●,株式会社　ちいさなチカラ,36.054722,136.211072
34,たんぽぽ短期入所,南四ツ居２丁目３番１０号,(０７７６)４１－００１３,(０７７６)４１－００１４,●,●,●,,社会福祉法人　足羽福祉会,36.060947,136.242944
35,ほやほや,松本３丁目２７－１０,(０７７６)９７－６４３４,(０７７６)２５－３４０４,●,●,●,,一般社団法人　なないろキッズ,36.075142,136.224253
36,つながる,二の宮２丁目２５－８,(０７７６)２７－１５５０,(０７７６)２７－１４４８,●,,,,医療法人社団オレンジ,36.086925,136.223311
