No.,業種,詳細業種,業態,営業所名称,営業所郵便番号,営業所所在地,営業所電話番号,許可番号（号）,施行日,有効期限
1,飲食店,軽食,,35,910-0023,福井市順化２丁目９－１７,,福井市指令生衛第21-2-7号,4/22/21,4/30/26
2,飲食店,社交飲食,,158,918-8236,福井市和田中２丁目９１６,0776-92-0003,福井市指令生衛第20-1-39号,4/28/20,7/31/25
3,飲食店営業,その他,ＢＡＲ,222,910-0023,福井市順化１丁目１７－１５オリエンタル５　２階２０２号室,,福井市指令生衛第23-4-421号,1/16/24,3/31/29
4,飲食店,軽食,,305,910-3557,福井市城有町５８―６,0776-89-2832,福井市指令生衛第20-2-177号,7/8/20,7/31/25
5,飲食店営業,その他,バー,821,910-0006,福井市中央１丁目２０－２４アコワティビル１Ｆ,,福井市指令生衛第22-3-186号,9/15/22,11/30/27
6,飲食店営業,その他,カフェ,＆　ＤＯＧ,910-0033,福井市三郎丸４丁目２１２－１,,福井市指令生衛第24-3-9号,5/21/24,2/28/30
7,そうざい製造業,そうざい製造業,,＆　ＤＯＧ,910-0033,福井市三郎丸４丁目２１２－１,,福井市指令生衛第24-3-262号,10/7/24,2/28/30
8,飲食店営業,その他,カフェ,＆ｃｒｅｐｅ　Ｍｉｎｔ,910-0836,福井市大和田２丁目１２１２ラブリーパートナーエルパ２Ｆ　フードコート,0776-57-2637,福井市指令生衛第24-3-143号,7/10/24,12/31/29
9,飲食店営業,その他,洋風居酒屋,＆Ｒｏｏｍ,910-0023,福井市順化２丁目６－６,0776-30-1630,福井市指令生衛第21-4-720号,2/16/22,4/30/27
10,飲食店営業,一般食堂・レストラン等,給食施設,（株）メフォス東日本　第１０６３３号店,910-0125,福井市石盛２丁目２１０認定こども園ひばり内,0776-63-5925,福井市指令生衛第21-3-328号,3/24/22,9/30/28
11,菓子製造業,菓子製造業,,（株）竹内菓子舗　第２工場,918-8012,福井市花堂北２丁目１５－６,0776-43-0942,福井市指令生衛第23-3-25号,4/25/23,10/31/28
12,飲食店営業,一般食堂・レストラン等,ラーメン屋,～ラーメン～　はなみや,910-0021,福井市乾徳１丁目１２－１６,,福井市指令生衛第23-3-303号,1/15/24,1/31/29
13,飲食店営業,その他,居酒屋,「はまちや」,910-0002,福井市町屋１丁目２－１９,,福井市指令生衛第21-4-572号,12/16/21,1/31/27
14,魚介類販売業,魚介類販売業,鮮魚販売,「ふくいの地魚情報館」,910-0005,福井市大手２丁目８－１０福井県水産会館　１Ｆ,0776-24-1203,福井市指令生衛第21-4-355号,10/7/21,11/30/26
15,飲食店営業,その他,ガールズバー,×××ＨＯＬＩＣ,910-0023,福井市順化２丁目８－１４パークサイドタワービル　６Ｆ－Ｂ,,福井市指令生衛第21-3-254号,12/23/21,4/30/27
16,飲食店営業,その他,カフェ,♯かかりつけカフェ　にじいろ,910-0015,福井市二の宮４丁目１４－１４シティハウス二の宮１Ｆ,,福井市指令生衛第22-3-27号,4/27/22,1/31/28
17,菓子製造業,菓子製造業,,♯かかりつけカフェ　にじいろ,910-0015,福井市二の宮４丁目１４－１４シティハウス二の宮１Ｆ,0776-97-8580,福井市指令生衛第22-3-217号,10/21/22,1/31/28
18,そうざい製造業,そうざい製造業,弁当屋,♯かかりつけカフェ　にじいろ,910-0015,福井市二の宮４丁目１４－１４シティハウス二の宮１Ｆ,,福井市指令生衛第23-3-245号,11/2/23,1/31/29
19,飲食店,仕出し弁当,,１０８　ＣＡＦＥ,918-8231,福井市問屋町２丁目１２問屋センター１Ｆ,,福井市指令生衛第20-1-66号,5/7/20,7/31/25
20,飲食店,食堂,,２１８９事業所,910-0829,福井市林藤島町１６―８濃飛西濃運輸株式会社福井支店２Ｆ社員食堂,,福井市指令生衛第20-2-696号,12/17/20,12/31/25
21,飲食店,社交飲食,,２５２５亭,910-0842,福井市開発４丁目４０１－１開発テナント２Ｆ,0776-57-0833,福井市指令生衛第19-1-400号,1/17/20,12/31/25
22,飲食店,食堂,,２７７事業所,910-0005,福井市大手３丁目４―７三井住友銀行　福井支店　２Ｆ社員食堂,,福井市指令生衛第20-2-452号,10/19/20,11/30/25
23,飲食店営業,その他,アイスクリーム屋,３１アイスクリーム　アル・プラザベル店,918-8577,福井市花堂南２丁目１６－１アル・プラザベル１Ｆ,0776-50-6831,福井市指令生衛第22-3-64号,6/20/22,10/31/27
24,飲食店営業,その他,給食施設,３３０２リリーブ東郷,910-2165,福井市東郷二ケ町２７－１５－３,,福井市指令生衛第22-3-224号,10/27/22,8/31/29
25,飲食店営業,その他,給食施設,３３０２文珠苑,919-0317,福井市北山町３５－５－１,,福井市指令生衛第22-3-223号,10/27/22,8/31/29
26,飲食店営業,一般食堂・レストラン等,ベトナム料理店,３８　ＬＵＸＵＲＹ,910-0006,福井市中央１丁目６－２３林第３ビル,,福井市指令生衛第22-3-356号,2/27/23,11/30/28
27,飲食店営業,一般食堂・レストラン等,集団給食施設,４７７５２事業所,910-0017,福井市文京４丁目１４－１１,,福井市指令生衛第21-3-107号,9/14/21,2/28/27
28,飲食店営業,一般食堂・レストラン等,給食会社,４９４６１事業所,910-0022,福井市花月１丁目９－1ユニエミール福井花月,,福井市指令生衛第23-3-384号,3/5/24,4/30/30
29,飲食店営業,その他,居酒屋,６（シックス）,910-0804,福井市高木中央１丁目２６０２,0776-53-0360,福井市指令生衛第24-4-233号,12/20/24,12/31/30
30,飲食店営業,その他,飲食業（バー）,７ＰＩＮ,910-0023,福井市順化１丁目１７－２１旭ビル１Ｆ東,0776-97-6999,福井市指令生衛第23-3-114号,7/21/23,3/31/29
