No.,分類,小学校名,小学校名_かな,所在地,電話番号,緯度,経度
1,市立,木田小学校,きだ,福井市木田1丁目1360,0776-36-3800,36.048171,136.220607
2,市立,豊小学校,みのり,福井市月見3丁目9-1,0776-36-3802,36.045759,136.21137
3,市立,足羽小学校,あすわ,福井市足羽3丁目1-1,0776-35-3804,36.058918,136.206434
4,市立,東安居小学校,ひがしあご,福井市水越2丁目503,0776-35-3806,36.066324,136.187734
5,市立,湊小学校,みなと,福井市学園1丁目4-8,0776-22-8805,36.069802,136.201767
6,市立,春山小学校,はるやま,福井市文京3丁目13-1,0776-22-8808,36.078777,136.213172
7,市立,順化小学校,じゅんか,福井市大手3丁目16-1,0776-20-5120,36.066507,136.220124
8,市立,宝永小学校,ほうえい,福井市松本3丁目15-1,0776-20-5122,36.073028,136.222463
9,市立,松本小学校,まつもと,福井市町屋3丁目14-20,0776-22-8813,36.078491,136.225961
10,市立,日之出小学校,ひので,福井市日之出5丁目11-1,0776-54-1551,36.065847,136.232806
11,市立,旭小学校,あさひ,福井市手寄2丁目2-5,0776-20-5124,36.060106,136.228332
12,市立,和田小学校,わだ,福井市和田1丁目2-1,0776-22-8817,36.052196,136.240713
13,市立,円山小学校,えんざん,福井市北四ツ居3丁目15-17,0776-54-5818,36.068675,136.247279
14,市立,啓蒙小学校,けいもう,福井市開発1丁目1008,0776-54-2819,36.077112,136.240574
15,市立,西藤島小学校,にしふじしま,福井市三郎丸1丁目1410,0776-22-8820,36.079514,136.194
16,市立,社北小学校,やしろきた,福井市若杉4丁目143,0776-35-2821,36.059347,136.185348
17,市立,社南小学校,やしろみなみ,福井市種池2丁目128,0776-35-2822,36.037344,136.191811
18,市立,安居小学校,あご,福井市本堂町4-12,0776-37-1004,36.06145,136.134627
19,市立,中藤小学校,なかふじ,福井市高柳3丁目3001,0776-54-3823,36.097284,136.24124
20,市立,大安寺小学校,だいあんじ,福井市岸水町16-25-1,0776-59-1881,36.109497,136.173948
21,市立,河合小学校,かわい,福井市山室町10-12,0776-55-0009,36.119417,136.193302
22,市立,麻生津小学校,あそうづ,福井市浅水二日町28-5,0776-38-1001,36.002321,136.198216
23,市立,国見小学校,くにみ,福井市鮎川町109-3-3,0776-88-2116,36.085306,136.031361
24,市立,岡保小学校,おかぼ,福井市河水町18-8,0776-54-5824,36.051606,136.273319
25,市立,東藤島小学校,ひがしふじしま,福井市藤島町44-8,0776-54-2825,36.086555,136.271837
26,市立,殿下小学校,でんが,福井市風尾町6-24,0776-97-2511,36.036273,136.04689
27,市立,鶉小学校,うずら,福井市砂子坂町4-31,0776-83-0026,36.145187,136.146031
28,市立,本郷小学校,ほんごう,福井市大年町65-32,0776-83-0922,36.114936,136.140388
29,市立,棗小学校,なつめ,福井市石新保町12-32,0776-85-1099,36.145395,136.108748
30,市立,鷹巣小学校,たかす,福井市和布町3-6,0776-86-1114,36.130951,136.06593
31,市立,長橋小学校,ながはし,福井市長橋町18-48,0776-86-1119,36.110472,136.049171
32,市立,森田小学校,もりた,福井市下森田新町1136,0776-56-0131,36.107967,136.231089
33,市立,明新小学校,めいしん,福井市灯明寺1-2101,0776-22-8815,36.091523,136.21285
34,市立,酒生小学校,さこう,福井市成願寺町5-1,0776-41-3017,36.032538,136.275088
35,市立,一乗小学校,いちじょう,福井市西新町1-4,0776-43-2024,35.99556,136.290377
36,市立,上文殊小学校,かみもんじゅ,福井市生部町36-6,0776-41-0514,35.999622,136.25303
37,市立,六条小学校,ろくじょう,福井市上莇生田町5-16,0776-41-1010,36.026403,136.233096
38,市立,文殊小学校,もんじゅ,福井市下河北町53-1,0776-41-1004,36.013231,136.231132
39,市立,東郷小学校,とうごう,福井市栃泉町3-105,0776-41-0003,36.014237,136.272352
40,市立,日新小学校,にっしん,福井市文京5丁目25-30,0776-22-0033,36.078474,136.203473
41,市立,清明小学校,せいめい,福井市下荒井町13-240,0776-38-5570,36.025883,136.202679
42,市立,社西小学校,やしろにし,福井市下江守町22-18,0776-35-1018,36.048171,136.176855
43,市立,下宇坂小学校,しもうさか,福井市市波町55-5,0776-96-4054,36.015452,136.332863
44,市立,羽生小学校,はにゅう,福井市大宮町12-31,0776-90-3024,35.999205,136.415765
45,市立,美山啓明小学校,みやまけいめい,福井市朝谷町1-20,0776-90-3003,35.994535,136.372066
46,市立,越廼小学校,こしの,福井市茱崎町3-25,0776-89-2043,36.040277,136.014056
47,市立,清水西小学校,しみずにし,福井市大森町9-2,0776-98-3014,36.01859,136.116946
48,市立,清水東小学校,しみずひがし,福井市三留町69-2,0776-98-2016,36.037952,136.153681
49,市立,清水南小学校,しみずみなみ,福井市真栗町15-33,0776-98-5007,36.014793,136.148177
50,市立,清水北小学校,しみずきた,福井市グリーンハイツ5丁目101,0776-98-2470,36.043009,136.164742
51,市立,杉坂小学校,すぎさか,福井市本折町48-2,0776-43-0124,36.033639,136.113425
