タイトル,カテゴリー,src_title,src,XLSファイル,RDFファイル,データ概要,データ提供所属,データ最終更新日,関連ページ,備考,CSV,緯度経度データ,HTML
保育園・認定こども園一覧,福祉・衛生・教育,福井市オープンデータパーク（福祉・衛生・教育）,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973.html,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973_d/fil/hoikuenkodomoen.xls,http://linkdata.org/work/rdf1s1207i,福井市の保育園・認定こども園（公立、私立）一覧,こども保育課,2025年3月31日,http://www.city.fukui.lg.jp/fukusi/kosodate/hoikuen/p015545.html,,./csv/hoikuenkodomoen.csv,1,./html/hoikuenkodomoen.html
認可外保育施設一覧,福祉・衛生・教育,福井市オープンデータパーク（福祉・衛生・教育）,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973.html,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973_d/fil/ninkagaihoikushisetsu.xls,http://linkdata.org/work/rdf1s7212i,福井市の認可外保育施設一覧,こども保育課,2025年3月31日,https://www.city.fukui.lg.jp/fukusi/kosodate/sien/ninkagai.html,,./csv/ninkagaihoikushisetsu.csv,1,./html/ninkagaihoikushisetsu.html
幼稚園一覧,福祉・衛生・教育,福井市オープンデータパーク（福祉・衛生・教育）,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973.html,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973_d/fil/youchien.xls,http://linkdata.org/work/rdf1s1208i,福井市の幼稚園（公立、私立）一覧,学校教育課,2025年3月31日,http://www.city.fukui.lg.jp/kyoiku/school/school/you_ichiran.html,,./csv/youchien.csv,1,./html/youchien.html
小学校一覧,福祉・衛生・教育,福井市オープンデータパーク（福祉・衛生・教育）,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973.html,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973_d/fil/syougakkou.xls,http://linkdata.org/work/rdf1s1209i,福井市の小学校（国公立）一覧,学校教育課,2022年3月23日,http://www.city.fukui.lg.jp/kyoiku/school/school/shou_ichiran.html,,./csv/syougakkou.csv,1,./html/syougakkou.html
中学校一覧,福祉・衛生・教育,福井市オープンデータパーク（福祉・衛生・教育）,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973.html,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973_d/fil/chugakkou.xls,http://linkdata.org/work/rdf1s1210i,福井市の中学校（国公立、私立）一覧,学校教育課,2024年4月1日,http://www.city.fukui.lg.jp/kyoiku/school/school/chu_ichiran.html,,./csv/chugakkou.csv,1,./html/chugakkou.html
義務教育学校一覧,福祉・衛生・教育,福井市オープンデータパーク（福祉・衛生・教育）,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973.html,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973_d/fil/gimukyouikugakkou.xls,http://linkdata.org/work/rdf1s7213i,福井市の義務教育学校一覧,学校教育課,2018年3月30日,,,./csv/gimukyouikugakkou.csv,1,./html/gimukyouikugakkou.html
児童館一覧,福祉・衛生・教育,福井市オープンデータパーク（福祉・衛生・教育）,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973.html,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973_d/fil/jidoukan.xls,http://linkdata.org/work/rdf1s1211i,福井市の児童館一覧,こども育成課,2025年3月31日,http://www.city.fukui.lg.jp/fukusi/kosodate/hoikuen/jidoiti.html,,./csv/jidoukan.csv,1,./html/jidoukan.html
放課後児童クラブ一覧,福祉・衛生・教育,福井市オープンデータパーク（福祉・衛生・教育）,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973.html,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973_d/fil/jidouclub.xls,http://linkdata.org/work/rdf1s9159i,福井市の放課後児童クラブ一覧,こども育成課,2025年4月1日,https://www.city.fukui.lg.jp/fukusi/kosodate/kenzen/jidouclub.html,,./csv/jidouclub.csv,1,./html/jidouclub.html
小中学校通学区域,福祉・衛生・教育,福井市オープンデータパーク（福祉・衛生・教育）,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973.html,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973_d/fil/tuugakukuiki.xls,http://linkdata.org/work/rdf1s1212i,福井市町丁別の小中学校通学区域一覧,学校教育課,2024年4月1日,http://www.city.fukui.lg.jp/kyoiku/school/school/tsugakukuiki_top.html,複数の学校が記載されている場合は号番で学校が異なります。,./csv/tuugakukuiki.csv,0,./html/tuugakukuiki.html
ほやねっと（地域包括支援センター）一覧,福祉・衛生・教育,福井市オープンデータパーク（福祉・衛生・教育）,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973.html,https://www.city.fukui.lg.jp/sisei/tokei/opendata/p018973_d/fil/hoyanet.xls,http://linkdata.org/work/rdf1s4649i,福井市の地域包括センター一覧,地域包括ケア推進課,2025年3月31日,http://www.city.fukui.lg.jp/fukusi/kaigo/center/houkatsu2.html,,./csv/hoyanet.csv,0,./html/hoyanet.html
